barcode,nama_item,merek,satuan
089686010107,INDOMIE KALDU AYAM,,PCS
089686010343,INDOMIE SOTO MIE,,PCS
089686010435,INDOMIE SOTO BANJAR,,PCS
089686010824,INDOMIE GORENG,,PCS
089686011036,INDOMIE GRG PEDAS,,PCS
089686017755,SARIMI ISI2 KOYA JERUK,,PCS
089686018011,SARIMI ISI2 BASO SAPI,,PCS
089686018080,SARIMI ISI2 TONGSENG AYAM,,PCS
089686043051,INDOMIE COTO MAKASSAR,,PCS
089686043419,INDOMIE SOTO LAMONGAN,,PCS
089686044072,SUPERMI SOP BUNTUT,,PCS
089686048704,SARIMI ISI2 AYAM KECAP,,PCS
089686386011,BUMBU RACIK NASI GORENG,,PCS
089686386066,BUMBU RACIK AYAM GORENG 26G,,PCS
089686386110,BUMBU RACIK SAYUR ASEM,,PCS
089686386219,BUMBU RACIK TUMIS,,PCS
089686386318,BUMBU RACIK SAYUR SOP 20G,,PCS
089686386462,BUMBU RACIK IKAN GORENG,,PCS
089686440133,BUMBU INDOFOOD KARE,,PCS
089686440386,BUMBU INDOFOOD RAWON,,PCS
089686440584,BUMBU INDOFOOD SOTO AYAM,,PCS
089686834109,FREISS SIRUP MADU COCOPANDAN 500ML,,PCS
089686834154,FREISS SIRUP MADU FRAMBOZ 500ML,,PCS
09098876567,Sarung Tenun Cap Kuda,,PCS
09098876568,Sarung Tenun Cap Kadal,,PCS
09098876569,Sarung Tenun Cap Kampret,,PCS
1000000163018,P/CASE BATIK JENIA,,PCS
100000321034,KEMBANG API OLYMPIC TORCH ISI 6,,PCS
100125268887,KAOS KAKI BALMORAL TIPIS,,PCS
1003020211219,STARWAY KAOS KAKI 159,,PCS
10064002,SATTO SLIM ESSENCE 55G,,PCS
1008968601770,SARIMI AYAM,,PCS
1008968604870,SARIMI  AYAM GORENG,,PCS
1008968606102,POP MIE MINI RS AYAM BAWANG,,PCS
10089686917267,SARIM SOTO KOYA DUS,,PCS
101110700238,STAR SLICED JALAPENOS 1QT,,PCS
10113000013,SPIDOL STAMP MICKEY,,PCS
10139000002,MAP FILE CAMPUS JOYKO A5,,PCS
1014100001656,SANDAL ANDO,,PCS
102000116006,VOS L LEAF A5 50,,PCS
102000116007,VOS L LEAF B5 100,,PCS
10343600096,E-PRINT RBON CARTG 8750,,PCS
10343600102,EPSON RF 8758 ORG-17,,PCS
10343600447,EPSON CARTRI 7754 KW2,,PCS
10343601802,EPSON CARTID SO15140,,PCS
1050003200005,BUKU TEBAL NP,,PCS
1050003800007,NOTES KOTAK NP,,PCS
1057011902273,BUKU MEWARNAI DL 0337,,PCS
1057011904079,BUKU MEWARNAI 2B 0407,,PCS
1070902154759,CM GELAS SET 7PC AROMA C-1898,,PCS
1070906118177,CM GELAS SET 6PC ROME 75007 RM,,PCS
1070906121702,CM GELAS SET 7PC DRINKING C-1910,,PCS
1070906130964,CM GELAS SET 7PC DREAMLIFE C-1981,,PCS
1073705604,HUGO BOS INTENSE WOMAN,,PCS
10900300100,REYNOLDS WRAP ALUMINIUM FOIL 8M.,,PCS
10900300117,REYNOLDS WRAP ALUMINIUM FOIL 16M.,,PCS
10900300131,REYNOLDS SAMPLER 5M,,PCS
10900300810,DAIMOND SAMPLER 5M,,PCS
10900302616,REYNOLDS ZIPPER STORAGE  MED (30),,PCS
10900302647,RAYNOLDS ZIPER FREZ 18GAL,,PCS
10900303309,REYNOLDS CUT-RITE WAX PAPER 23M.,,PCS
10900303316,RAYNOLDS CUT-RITE WAX PAPER 4.64M2,,PCS
10900303477,VB REFILL 7M,,PCS
1100120010473,PULPEN AE 7,,PCS
1100120030471,PULPEN AE 7 MERAH,,PCS
11034410048,MARTINI ROSSI 1LTR,,PCS
11100416,LEM CASTOL KECIL,,PCS
11111111111,PASEO TISSUE SMART PARFUMED 6X12sct,,PCS
11132000240,ALPO DOG BEEF & RICE 374G,,PCS
11132000332,ALPO CHICKEN CLASSIC CHUNKY 623G,,PCS
11132000356,ALPO BEEF CLASSIC CHUNKY 623G,,PCS
11132000363,ALPO TRIO CLASSIC CHUNKY 623G,,PCS
11132003616,ALPO DOG BEEF & LIVER 374G,,PCS
11132003623,ALPO DOG CHICKEN 374G,,PCS
11132108359,ALPO TOP SIRLOIN 374G,,PCS
11132108403,ALPO FILEDMIGNON 374G,,PCS
11132108601,ALPO ROASTED CHICKEN 374G,,PCS
11132117559,ALPO CHOP HOUSE RIBEYE 374G,,PCS
11132125189,ALPO PRIME CUTS 623G BEEF,,PCS
11132125479,ALPO PRIME CUTS 623G LAMB&RICE,,PCS
11209002207,MOREHOUSE MUSTARD 567G,,PCS
11210000018,TABASCO RED PEPPER SAUCE 60ML.,,PCS
11210000155,TABASCO RED PEPPER SAUCE 150ML.,,PCS
1121000032,TABASCO RED PEPPER SAUCE 350ML,,PCS
11210006508,TABASCO 60ML HARBANERO HOT,,PCS
11210007253,TABASCO 60ML GARLICPEPPER,,PCS
11210009387,TABASCO 60ML GREENPEPPER MILD,,PCS
1123456123456,TYL ASSORTED CANDIES 320G,,PCS
1162828537133,PONDS COMP BC 68G,,PCS
11747168038,FINNA 300G RASEDA KRUPUK UDANG,,PCS
11747233026,DUA KELINCI100G,,PCS
11747233033,DUA KELINCI KACANG GARINGPCK 250g,,PCS
11747233040,DUA KELINCI KC KULIT 500 GR,,PCS
11747233057,KACANG DUA KELINCI 1000 GR,,PCS
11747233125,REGE KCG ATOM 65G,,PCS
11747233897,DOUBLE RABBIT KACANG KULIT 500G,,PCS
11747233934,SARI GURIH 100G,,PCS
11747233941,SARI GURIH 250G,,PCS
11747233965,DK KACANG GARING 36GR,,PCS
11747233972,SUKRO KACANG ATOM 43G,,PCS
11747234160,DOLPHIN GARAM MEJA 250G,,PCS
11747234177,GARAM KUALI 500G,,PCS
11747234184,GARAM KUALI 250G,,PCS
11747234191,DOLPHIN GARAM MEJA 500G,,PCS
11747234207,DOLPHIN GARAM MEJA 1KG,,PCS
117472342177,DOLPHIN GARAM MEJA 200G,,PCS
117472342276,DOLPHIN GARAM MEJA 450G,,PCS
11747234771,GARAM CAP LAYAR 250G,,PCS
11747234825,DK KCG SHANGHAI 450G TP,,PCS
11747235518,The Naga,,PCS
11747236737,MR FOOD 100G TEPUNG DAWET PANDAN,,PCS
11747236744,MR FOOD 100G TEPUNG DAWET FRAMBOZEN,,PCS
11747236751,MR FOOD 100G TEPUNG DAWET VANILA,,PCS
11747237604,MR FOOD 137G PD ALMOND,,PCS
11747237611,MR FOOD 137G PD CAPUCINO,,PCS
11747237628,MR FOOD 137G PD CHOCOLATE,,PCS
11747237635,MR FOOD 137G PD MANGGA,,PCS
11747237659,MR FOOD 137G PD STRAWBERRY,,PCS
11747616058,TING TING JAHE 8`S,,PCS
11747619011,DOUBLE RABBIT KACANG KULIT 250G,,PCS
11747619028,DOUBLE RABBIT KACANG KULIT 100G,,PCS
1180272778888,MERICA KAPAL BINTAN 250G,,PCS
1180272779889,MERICA KAPAL BINTAN 50G,,PCS
1180272779988,MERICA KAPAL BINTAN 100G,,PCS
1180273779999,MERICA KAPAL BINTAN 150G,,PCS
